被験者ID,問題ID,アルゴリズム,条件,設問,訪問回数,滞在ミリ秒,初回開始秒,最終終了秒,課題全体秒,理解度正誤,自己評価理解度,介入要請回数,介入ラベル有効,理解度ラベル有効,自己評価ラベル有効,脳波_TP9_θ,脳波_TP9_α,脳波_TP9_β,脳波_TP9_低γ,脳波_AF7_θ,脳波_AF7_α,脳波_AF7_β,脳波_AF7_低γ,脳波_AF8_θ,脳波_AF8_α,脳波_AF8_β,脳波_AF8_低γ,脳波_TP10_θ,脳波_TP10_α,脳波_TP10_β,脳波_TP10_低γ,脳波_TP9_θ相対,脳波_TP9_α相対,脳波_TP9_β相対,脳波_TP9_低γ相対,脳波_AF7_θ相対,脳波_AF7_α相対,脳波_AF7_β相対,脳波_AF7_低γ相対,脳波_AF8_θ相対,脳波_AF8_α相対,脳波_AF8_β相対,脳波_AF8_低γ相対,脳波_TP10_θ相対,脳波_TP10_α相対,脳波_TP10_β相対,脳波_TP10_低γ相対,脳波_TP9_総パワー,脳波_AF7_総パワー,脳波_AF8_総パワー,脳波_TP10_総パワー,脳波_θα比,脳波_前頭左右差α,脳波_サンプル数,脳波_品質,脳波_振幅超過率,脳波有効,心拍_平均HR,心拍_サンプル数,心拍_RR件数,心拍_RR平均ms,心拍_RMSSD,心拍_SDNN,心拍_pNN50,瞳孔_eye0_平均px,瞳孔_eye0_標準偏差px,瞳孔_eye0_件数,瞳孔_eye0_平均mm,瞳孔_eye1_平均px,瞳孔_eye1_標準偏差px,瞳孔_eye1_件数,瞳孔_eye1_平均mm,瞳孔_採用率,瞳孔_3d有効率,注視_回数毎秒,注視_平均時間ms,注視_時間割合,注視_件数,視線_サンプル数,視線_画面内率,視線_コード率,視線_設計書率,視線_往復回数毎秒,視線_ブロック遷移毎秒,視線_コード縦移動量毎秒,視線_コード縦分散,視線_B1率,視線_B2率,視線_B3率,視線_B4率,視線_B5率,視線_B6率
S03,pD,エラトステネスのふるい,学習用,Q1,1,357837,0.001,357.838,2681.654,正解,4,0,1,1,1,523.3207,81.6917,84.5599,16.3851,481.9916,60.1967,50.778,13.393,121.8553,26.6934,34.9913,11.8521,469.2691,79.4319,59.9782,16.8211,0.7413,0.1157,0.1198,0.0232,0.7949,0.0993,0.0837,0.0221,0.6236,0.1366,0.1791,0.0607,0.7502,0.127,0.0959,0.0269,705.9574,606.3593,195.3921,625.5003,6.4369,0.8132,91617.0,有効,0.0845,1.0,62.51,347.0,340.0,963.48,17.32,61.05,1.77,45.4047,4.2613,49096.0,2.6754,45.0952,4.3271,51426.0,3.0512,0.9423,0.4692,0.6455,308.5,0.1992,231.0,53043.0,0.6696,0.3044,0.6956,1.0619,0.5422,0.4126,0.029841,0.0287,0.1099,0.1237,0.178,0.5166,0.0432
S03,pD,エラトステネスのふるい,学習用,Q2,1,382956,428.539,811.495,2681.654,正解,4,0,1,1,1,246.6349,40.4475,31.8099,7.9349,122.3057,20.3639,29.0216,14.4498,49.2052,9.1882,22.7234,8.2588,242.0756,39.467,33.1394,9.0197,0.7546,0.1238,0.0973,0.0243,0.6571,0.1094,0.1559,0.0776,0.5505,0.1028,0.2542,0.0924,0.7478,0.1219,0.1024,0.0279,326.8272,186.141,89.3756,323.7017,6.0313,0.7958,98048.0,有効,0.0514,1.0,59.37,363.0,357.0,1014.61,17.26,62.35,2.53,44.7253,3.8392,52316.0,2.6383,44.3005,4.2185,54763.0,2.8939,0.9459,0.4699,0.7442,307.97,0.2292,285.0,56540.0,0.8175,0.3388,0.6612,1.0811,0.6528,0.4783,0.021907,0.0093,0.0344,0.1985,0.1986,0.52,0.0391
S03,pD,エラトステネスのふるい,学習用,Q3,1,264411,911.161,1175.572,2681.654,正解,4,1,1,1,1,256.0179,48.2704,42.2586,8.5645,190.2132,63.5636,71.5505,21.2546,86.7875,18.5691,28.0939,7.5359,336.4702,81.7298,60.513,11.7047,0.721,0.1359,0.119,0.0241,0.5488,0.1834,0.2064,0.0613,0.6156,0.1317,0.1993,0.0535,0.6861,0.1667,0.1234,0.0239,355.1115,346.5819,140.9864,490.4177,4.0988,1.2305,67697.0,有効,0.0473,1.0,57.69,191.0,179.0,1048.49,18.78,76.17,2.25,43.9183,3.5991,35391.0,2.582,43.6524,4.2672,37653.0,2.6833,0.9506,0.4728,0.8131,308.89,0.2512,215.0,38328.0,0.9557,0.2763,0.7237,1.4296,0.6467,0.8125,0.042379,0.134,0.2475,0.1741,0.1321,0.2871,0.0252
S03,pD,エラトステネスのふるい,学習用,Q4,1,153190,1257.745,1410.935,2681.654,正解,4,0,1,1,1,298.1751,60.9549,66.8358,10.6171,46.1678,10.5688,16.3795,3.9511,39.5918,9.1534,15.7278,5.2448,201.9311,42.5484,32.3308,8.3065,0.683,0.1396,0.1531,0.0243,0.5991,0.1371,0.2125,0.0513,0.5679,0.1313,0.2256,0.0752,0.7082,0.1492,0.1134,0.0291,436.583,77.0671,69.7177,285.1168,4.7544,0.1438,39221.0,有効,0.0092,1.0,60.01,135.0,133.0,1004.01,19.37,71.16,3.79,45.848,3.5381,21207.0,2.7254,46.7738,3.6869,22090.0,2.8879,0.9589,0.4768,0.6658,308.12,0.2052,102.0,22578.0,0.8219,0.2953,0.7047,0.9139,0.5549,0.4449,0.028903,0.0221,0.0531,0.1792,0.1604,0.5293,0.0558
S03,pD,エラトステネスのふるい,学習用,Q5,1,757482,1637.163,2394.645,2681.654,不正解,4,1,1,1,1,370.123,60.0055,59.1642,13.2026,236.2848,40.163,63.04,27.3015,141.6298,24.0691,41.6388,15.2307,399.032,64.357,66.8242,14.0746,0.7366,0.1194,0.1177,0.0263,0.6442,0.1095,0.1719,0.0744,0.6363,0.1081,0.1871,0.0684,0.7331,0.1182,0.1228,0.0259,502.4952,366.7893,222.5684,544.2878,6.0822,0.512,193938.0,有効,0.0148,1.0,59.94,653.0,638.0,1006.66,16.69,75.99,1.88,46.7205,4.1259,102343.0,2.6496,46.6384,4.6214,106392.0,3.0523,0.9335,0.4625,0.6324,308.48,0.1951,479.0,111193.0,0.8821,0.2347,0.7653,1.204,0.507,0.7391,0.031043,0.0348,0.1071,0.2161,0.1771,0.4347,0.0301
S03,pD,エラトステネスのふるい,学習用,Q6,1,142351,2539.302,2681.653,2681.654,,4,1,1,0,1,502.9242,90.6211,60.9604,17.9062,436.1993,90.9683,155.2888,42.8157,241.9397,58.8449,50.8651,11.9316,541.5009,102.9961,65.1919,13.5782,0.7479,0.1348,0.0907,0.0266,0.6014,0.1254,0.2141,0.059,0.6654,0.1618,0.1399,0.0328,0.7487,0.1424,0.0901,0.0188,672.4118,725.2721,363.5813,723.2671,5.0158,0.4356,36446.0,有効,0.0366,1.0,59.87,131.0,129.0,1008.99,23.97,89.33,4.69,48.8014,4.432,18734.0,2.7236,48.7592,4.857,18657.0,3.3588,0.9163,0.4512,0.5479,308.74,0.1692,78.0,20158.0,0.7638,0.2219,0.7781,1.4235,0.5497,0.6219,0.043075,0.0746,0.1103,0.2256,0.1103,0.4191,0.06
S03,pE,2進数への変換,学習用,Q1,3,2384833,0.001,4574.02,4798.545,正解,4,3,1,1,1,382.913219,71.555004,48.367545,11.284621,187.09933,32.094537,31.336271,7.465173,192.066737,32.455873,29.653647,6.141177,475.874822,90.043203,66.740344,16.611158,0.744264,0.139377,0.094359,0.022,0.729596,0.12248,0.119642,0.028282,0.742242,0.122885,0.111701,0.023172,0.732537,0.138906,0.103072,0.025584,514.120388,257.995212,260.317433,649.269526,5.490509,-0.049418,610590.0,有効,0.02374,1.0,62.520058,2088.0,2006.0,964.827443,22.239096,71.473897,2.792415,51.725983,5.223309,284777.0,2.59955,59.390376,6.753984,303512.0,2.997865,0.885118,0.433586,0.65158,309.442148,0.201656,1554.0,331366.0,0.661031,0.500615,0.499385,0.932539,0.59997,0.670635,0.020349,0.00369,0.016256,0.045277,0.055948,0.697546,0.181284
S03,pE,2進数への変換,学習用,Q2,4,601066,2519.367,4574.364,4798.545,正解,4,1,1,1,1,523.766693,112.469783,51.533554,13.029739,390.710884,92.618735,97.658074,19.095095,355.248515,47.613207,41.064698,8.363877,541.30705,113.105432,61.548442,16.912324,0.746511,0.160479,0.074166,0.018844,0.648561,0.151403,0.165972,0.034134,0.783773,0.10513,0.091876,0.019234,0.738052,0.154599,0.084149,0.023284,700.799784,600.082687,452.290226,732.873262,4.947181,0.633088,153891.0,有効,0.031715,1.0,60.567317,390.0,362.0,994.895906,33.023204,74.554799,4.393566,52.974956,5.785019,69328.0,2.489807,59.920868,8.505118,69010.0,2.762376,0.83605,0.402253,0.541031,309.761738,0.167592,325.0,82482.0,0.734979,0.585357,0.414643,1.743643,0.843426,1.140713,0.020414,0.002576,0.021953,0.064848,0.085695,0.715817,0.109025
S03,pE,2進数への変換,学習用,Q3,3,175414,3363.27,4574.653,4798.545,正解,4,0,1,1,1,409.652714,100.193709,62.636896,12.826395,111.351552,17.816727,10.412457,3.108197,214.492578,44.149052,20.16553,3.82044,413.353244,79.687584,59.220578,12.397302,0.697585,0.17075,0.108503,0.023161,0.777884,0.124668,0.074243,0.023105,0.756465,0.156144,0.072266,0.015125,0.729665,0.141072,0.106478,0.022784,585.309713,142.688833,282.627599,564.658708,4.740844,-0.907474,44911.0,有効,0.029788,1.0,61.93,104.0,87.0,974.18,53.56,113.46,9.3,55.425897,5.110375,20090.0,2.568377,62.234999,7.171343,21254.0,2.925992,0.853998,0.413749,0.622415,308.910004,0.192237,109.0,24206.0,0.711628,0.485879,0.514121,1.91562,0.9442,0.847,0.041131,0.0039,0.0585,0.1247,0.1097,0.4742,0.2289
S03,pE,2進数への変換,学習用,Q4,3,100234,3630.11,4575.509,4798.545,不正解,4,0,1,1,1,234.188419,60.922361,25.599261,6.195445,51.627012,12.249512,10.430544,4.079403,121.607929,30.462314,20.769049,5.003969,237.057645,60.362487,26.176748,7.012054,0.712372,0.185526,0.08105,0.021151,0.654838,0.155982,0.135249,0.053833,0.678566,0.170423,0.118709,0.032302,0.713129,0.183078,0.081315,0.022479,326.905583,78.386469,177.843164,330.608934,3.915824,-0.902178,25664.0,有効,0.009769,1.0,60.61201,94.0,89.0,997.877795,17.47,77.25,2.33,51.701105,3.365795,11925.0,2.35249,58.123869,4.92812,12252.0,3.005429,0.89833,0.443372,0.8068,308.21,0.2487,79.0,13440.0,0.86492,0.275451,0.724549,1.636917,0.810035,0.657664,0.037082,0.020818,0.124613,0.270661,0.137402,0.401498,0.045107
