被験者ID,問題ID,採用,変換,x反転,y反転,コード帯サンプル数,文字範囲一致率_コード帯,コード領域サンプル数,文字範囲一致率_コード領域
S03,pD,True,xそのまま/y反転,False,True,65076,55.8,82350,55.4
S03,pD,False,xそのまま/yそのまま,False,False,65076,49.8,82350,49.9
S03,pD,False,x反転/y反転,True,True,121872,52.5,250406,50.9
S03,pD,False,x反転/yそのまま,True,False,121872,53.3,250406,54.8
S03,pE,True,xそのまま/y反転,False,True,154076,76.3,192460,72.5
S03,pE,False,xそのまま/yそのまま,False,False,154076,51.1,192460,51.5
S03,pE,False,x反転/y反転,True,True,116546,52.2,276641,52.0
S03,pE,False,x反転/yそのまま,True,False,116546,52.8,276641,53.3
S04,pC,True,xそのまま/y反転,False,True,93319,54.0,128682,54.2
S04,pC,False,xそのまま/yそのまま,False,False,93319,49.3,128682,49.3
S04,pC,False,x反転/y反転,True,True,108686,49.7,184318,50.2
S04,pC,False,x反転/yそのまま,True,False,108686,47.5,184318,47.6
S04,pD,True,xそのまま/y反転,False,True,132842,69.4,191234,68.2
S04,pD,False,xそのまま/yそのまま,False,False,132842,55.5,191234,55.1
S04,pD,False,x反転/y反転,True,True,140988,54.7,264441,54.5
S04,pD,False,x反転/yそのまま,True,False,140988,59.9,264441,60.4
S04,pE,True,xそのまま/y反転,False,True,134565,72.8,190916,68.5
S04,pE,False,xそのまま/yそのまま,False,False,134565,53.8,190916,54.5
S04,pE,False,x反転/y反転,True,True,146153,53.8,263035,53.9
S04,pE,False,x反転/yそのまま,True,False,146153,56.7,263035,57.0
S05,pD,True,xそのまま/y反転,False,True,28391,51.6,55560,49.9
S05,pD,False,xそのまま/yそのまま,False,False,28391,51.6,55560,51.9
S05,pD,False,x反転/y反転,True,True,56896,52.7,130434,51.9
S05,pD,False,x反転/yそのまま,True,False,56896,56.9,130434,56.9
S05,pE,True,xそのまま/y反転,False,True,34609,61.3,52823,59.5
S05,pE,False,xそのまま/yそのまま,False,False,34609,48.2,52823,49.2
S05,pE,False,x反転/y反転,True,True,70333,52.8,140495,53.8
S05,pE,False,x反転/yそのまま,True,False,70333,53.6,140495,55.6
S06,pD,True,xそのまま/y反転,False,True,46631,52.8,64947,50.2
S06,pD,False,xそのまま/yそのまま,False,False,46631,55.0,64947,53.5
S06,pD,False,x反転/y反転,True,True,75468,53.3,146852,52.6
S06,pD,False,x反転/yそのまま,True,False,75468,63.4,146852,60.5
S06,pE,True,xそのまま/y反転,False,True,36979,43.8,61082,43.3
S06,pE,False,xそのまま/yそのまま,False,False,36979,48.1,61082,45.8
S06,pE,False,x反転/y反転,True,True,60200,56.0,112337,56.6
S06,pE,False,x反転/yそのまま,True,False,60200,66.0,112337,66.0
