列,役割,標準化
被験者ID,識別子,—
問題ID,識別子,—
標準化の基準,注記,—
介入要請あり,ラベル,—
介入要請までの秒数,ラベル,—
理解度正誤,ラベル,—
自己評価理解度,ラベル,—
介入ラベル有効,マスク,—
理解度ラベル有効,マスク,—
自己評価ラベル有効,マスク,—
脳波有効,マスク,—
脳波_TP9_θ相対,特徴量,済
脳波_TP9_α相対,特徴量,済
脳波_TP9_β相対,特徴量,済
脳波_TP9_低γ相対,特徴量,済
脳波_AF7_θ相対,特徴量,済
脳波_AF7_α相対,特徴量,済
脳波_AF7_β相対,特徴量,済
脳波_AF7_低γ相対,特徴量,済
脳波_AF8_θ相対,特徴量,済
脳波_AF8_α相対,特徴量,済
脳波_AF8_β相対,特徴量,済
脳波_AF8_低γ相対,特徴量,済
脳波_TP10_θ相対,特徴量,済
脳波_TP10_α相対,特徴量,済
脳波_TP10_β相対,特徴量,済
脳波_TP10_低γ相対,特徴量,済
脳波_TP9_総パワー,特徴量,済
脳波_AF7_総パワー,特徴量,済
脳波_AF8_総パワー,特徴量,済
脳波_TP10_総パワー,特徴量,済
脳波_θα比,特徴量,済
脳波_前頭左右差α,特徴量,済
脳波_サンプル数,特徴量,済
脳波_振幅超過率,特徴量,済
心拍_平均HR,特徴量,済
心拍_サンプル数,特徴量,済
心拍_RR件数,特徴量,済
心拍_RR平均ms,特徴量,済
心拍_RMSSD,特徴量,済
心拍_SDNN,特徴量,済
心拍_pNN50,特徴量,済
瞳孔_eye0_平均px,特徴量,済
瞳孔_eye0_標準偏差px,特徴量,済
瞳孔_eye0_件数,特徴量,済
瞳孔_eye0_平均mm,特徴量,済
瞳孔_eye1_平均px,特徴量,済
瞳孔_eye1_標準偏差px,特徴量,済
瞳孔_eye1_件数,特徴量,済
瞳孔_eye1_平均mm,特徴量,済
瞳孔_採用率,特徴量,済
瞳孔_3d有効率,特徴量,済
注視_回数毎秒,特徴量,済
注視_平均時間ms,特徴量,済
注視_時間割合,特徴量,済
注視_件数,特徴量,済
視線_サンプル数,特徴量,済
視線_画面内率,特徴量,済
視線_コード率,特徴量,済
視線_設計書率,特徴量,済
視線_往復回数毎秒,特徴量,済
視線_ブロック遷移毎秒,特徴量,済
視線_コード縦移動量毎秒,特徴量,済
視線_コード縦分散,特徴量,済
視線_B1率,特徴量,済
視線_B2率,特徴量,済
視線_B3率,特徴量,済
視線_B4率,特徴量,済
視線_B5率,特徴量,済
視線_B6率,特徴量,済
