"問題ID","アルゴリズム","条件","被験者ID","実施日","設問","区分","項目","空欄","回答"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q1","","1 / while開始時 a","","18"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q1","","1 / while開始時 b","","12"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q1","","1 / r = a % b","","6"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q1","","1 / 代入後 a","","12"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q1","","1 / 代入後 b","","6"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q1","","2 / while開始時 a","","12"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q1","","2 / while開始時 b","","6"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q1","","2 / r = a % b","","0"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q1","","2 / 代入後 a","","6"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q1","","2 / 代入後 b","","0"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q1","","rの値：各回の r は、while開始時の a を b で割ったときの ＿＿ である。","1","剰余"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q1","","bの変化：各回の最後に、b にはその回で求めた ＿＿ の値が代入される。","1","剰余"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q1","","終了時：while文が終了したとき、a = ＿＿、b = ＿＿ である。","1","6"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q1","","終了時：while文が終了したとき、a = ＿＿、b = ＿＿ である。","2","0"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q2","","繰り返しを続ける条件 / 回答","","b!=0"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q2","","1回の処理で最初に計算する式 / 回答","","a%b"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q2","","a に代入する値 / 回答","","b"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q2","","b に代入する値 / 回答","","r"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q2","","while文が終了するときの b の値 / 回答","","b=0"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q2","","値の更新順序：1回のwhile文では、最初に r を計算し、その後 a に ＿＿、b に ＿＿ を代入する。","1","b"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q2","","値の更新順序：1回のwhile文では、最初に r を計算し、その後 a に ＿＿、b に ＿＿ を代入する。","2","r"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q3","","a、b、r のデータ型 / 回答","","int"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q3","","5行目で初期値が設定される変数の個数 / 回答","","2"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q3","","5行目で a に設定される値 / 回答","","48"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q3","","5行目で b に設定される値 / 回答","","18"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q3","","11行目で r に代入される値 / 回答","","12"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q3","","12行目で a に代入される値 / 回答","","18"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q3","","13行目で b に代入される値 / 回答","","12"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q3","","Q1の最終状態で a に入っている値 / 回答","","6"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q3","","Q1の最終状態で b に入っている値 / 回答","","0"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q3","","19行目で画面に出力する変数 / 回答","","6"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q4","","5行目：変数 a に ＿＿、b に ＿＿ を設定し、余りを入れる変数 ＿＿ を宣言する。","1","48"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q4","","5行目：変数 a に ＿＿、b に ＿＿ を設定し、余りを入れる変数 ＿＿ を宣言する。","2","18"
