"問題ID","アルゴリズム","条件","被験者ID","実施日","種別","対象","連番","開始時刻","開始Unix時刻","開始経過ミリ秒","終了時刻","終了Unix時刻","終了経過ミリ秒","所要ミリ秒","補足"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","セッション","課題全体","","2026-08-20T12:28:54+09:00","1787196534265","0","2026-08-20T12:40:02+09:00","1787197202299","668028","668028",""
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","設問滞在","Q1","1","2026-08-20T12:28:54+09:00","1787196534266","1","2026-08-20T12:32:21+09:00","1787196741509","207242","207241",""
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","設問滞在","Q2","1","2026-08-20T12:32:36+09:00","1787196756731","222464","2026-08-20T12:33:31+09:00","1787196811429","277162","54698",""
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","設問滞在","Q3","1","2026-08-20T12:33:52+09:00","1787196832069","297801","2026-08-20T12:35:00+09:00","1787196900418","366150","68349",""
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","設問滞在","Q2","2","2026-08-20T12:35:00+09:00","1787196900419","366151","2026-08-20T12:35:01+09:00","1787196901126","366857","706",""
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","設問滞在","Q1","2","2026-08-20T12:35:01+09:00","1787196901128","366859","2026-08-20T12:35:06+09:00","1787196906451","372182","5323",""
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","設問滞在","Q2","3","2026-08-20T12:35:06+09:00","1787196906452","372184","2026-08-20T12:35:07+09:00","1787196907594","373325","1141",""
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","設問滞在","Q3","2","2026-08-20T12:35:07+09:00","1787196907596","373327","2026-08-20T12:35:22+09:00","1787196922289","388020","14693",""
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","設問滞在","Q4","1","2026-08-20T12:35:47+09:00","1787196947295","413026","2026-08-20T12:36:42+09:00","1787197002251","467982","54956",""
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","設問滞在","Q5","1","2026-08-20T12:37:09+09:00","1787197029552","495282","2026-08-20T12:38:19+09:00","1787197099323","565053","69771",""
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","設問滞在","Q6","1","2026-08-20T12:38:49+09:00","1787197129540","595270","2026-08-20T12:40:02+09:00","1787197202299","668028","72758",""
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","理解度テスト","Q1","1","2026-08-20T12:32:21+09:00","1787196741510","207243","2026-08-20T12:32:36+09:00","1787196756729","222462","15219","PAQ1-H1／選択3／正解3／正解"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","理解度テスト","Q2","1","2026-08-20T12:33:31+09:00","1787196811430","277162","2026-08-20T12:33:52+09:00","1787196832067","297799","20637","PAQ2-H1／選択1／正解5／不正解"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","理解度テスト","Q3","1","2026-08-20T12:35:22+09:00","1787196922289","388020","2026-08-20T12:35:47+09:00","1787196947293","413024","25004","PAQ3-H1／選択2／正解2／正解"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","理解度テスト","Q4","1","2026-08-20T12:36:42+09:00","1787197002251","467982","2026-08-20T12:37:09+09:00","1787197029550","495280","27298","PAQ4-H1／選択4／正解4／正解"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","理解度テスト","Q5","1","2026-08-20T12:38:19+09:00","1787197099323","565053","2026-08-20T12:38:49+09:00","1787197129539","595269","30216","PAQ5-H1／選択1／正解1／正解"
